Model,Accuracy,Precision,Recall,F1,Feature_Set
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,SKB
CNN,0.7580246913580246,0.7610502472743311,0.7580246913580246,0.7590113798542767,SKB
Gradient Boosting,0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,SKB
ANN,0.7308641975308642,0.7363682209212734,0.7308641975308642,0.7261828824010074,SKB
Random Forest,0.7234567901234568,0.7267179822247942,0.7234567901234568,0.7234766319647796,SKB
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,SKB
Decision Tree,0.6172839506172839,0.618313591999659,0.6172839506172839,0.6139755788785511,SKB
Logistic Regression,0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,VT
SVM,0.7975308641975308,0.798466146613352,0.7975308641975308,0.796489268193943,VT
ANN,0.7876543209876543,0.7868106343742434,0.7876543209876543,0.783909653356731,VT
CNN,0.7876543209876543,0.7885362613768412,0.7876543209876543,0.7876455532404995,VT
Gradient Boosting,0.7703703703703704,0.770837818583192,0.7703703703703704,0.7693757760861226,VT
Random Forest,0.7481481481481481,0.7480916948932941,0.7481481481481481,0.7473752083474215,VT
KNN,0.6790123456790124,0.6786721158427291,0.6790123456790124,0.6711844776048689,VT
Decision Tree,0.6617283950617284,0.6672772626068797,0.6617283950617284,0.6633181430579048,VT
